null_pct,mode,strategy,event,asset,method,final_return_pct,bah_pct,delta_pct,alarm_rate,days_in_market,n_endpoints,start_date,end_date,first_alarm,lead_days
0.785,as reported,persist,COVID-19,GOLD,DSV,18.789118,26.320203,-7.531085,0.376712,0.57931,146,2020-01-16,2020-08-13,2020-02-13,4.0
1.0,as reported,defensive,COVID-19,GOLD,DAG,32.821563,26.320203,6.50136,0.034247,0.965517,146,2020-01-16,2020-08-13,2020-02-21,-1.0
0.7325,as reported,first_alarm,COVID-19,GOLD,DAG,6.171722,26.320203,-20.148481,0.034247,0.165517,146,2020-01-16,2020-08-13,2020-02-21,-1.0
0.305,as reported,persist,COVID-19,GOLD,DAG,26.775029,26.320203,0.454825,0.034247,0.944828,146,2020-01-16,2020-08-13,2020-02-21,-1.0
0.0,as reported,defensive,COVID-19,GOLD,OMNI,21.730615,26.320203,-4.589588,0.068493,0.931034,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.5,as reported,first_alarm,COVID-19,GOLD,OMNI,0.0,26.320203,-26.320203,0.068493,0.0,146,2020-01-16,2020-08-13,2020-01-16,23.0
1.0,as reported,persist,COVID-19,GOLD,OMNI,46.362598,26.320203,20.042394,0.068493,0.903448,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.0,as reported,defensive,COVID-19,GOLD,USAD,20.062676,26.320203,-6.257528,0.061644,0.937931,146,2020-01-16,2020-08-13,2020-02-18,2.0
0.4725,as reported,first_alarm,COVID-19,GOLD,USAD,3.292447,26.320203,-23.027757,0.061644,0.144828,146,2020-01-16,2020-08-13,2020-02-18,2.0
0.4475,as reported,persist,COVID-19,GOLD,USAD,24.549126,26.320203,-1.771078,0.061644,0.896552,146,2020-01-16,2020-08-13,2020-02-18,2.0
0.56,as reported,defensive,COVID-19,GOLD,TR,25.010315,26.320203,-1.309888,0.10274,0.896552,146,2020-01-16,2020-08-13,2020-03-24,-23.0
0.6425,as reported,first_alarm,COVID-19,GOLD,TR,7.178822,26.320203,-19.141382,0.10274,0.317241,146,2020-01-16,2020-08-13,2020-03-24,-23.0
0.19,as reported,persist,COVID-19,GOLD,TR,18.719819,26.320203,-7.600384,0.10274,0.862069,146,2020-01-16,2020-08-13,2020-03-24,-23.0
0.0,as reported,defensive,COVID-19,GOLD,AT,2.343816,26.320203,-23.976387,0.191781,0.806897,146,2020-01-16,2020-08-13,2020-02-20,0.0
0.565,as reported,first_alarm,COVID-19,GOLD,AT,4.364104,26.320203,-21.956099,0.191781,0.158621,146,2020-01-16,2020-08-13,2020-02-20,0.0
0.0,as reported,persist,COVID-19,GOLD,AT,12.753923,26.320203,-13.566281,0.191781,0.77931,146,2020-01-16,2020-08-13,2020-02-20,0.0
0.715,as reported,defensive,COVID-19,GOLD,EXP,16.097506,26.320203,-10.222697,0.321918,0.675862,146,2020-01-16,2020-08-13,2020-03-02,-7.0
0.3575,as reported,first_alarm,COVID-19,GOLD,EXP,2.795355,26.320203,-23.524848,0.321918,0.206897,146,2020-01-16,2020-08-13,2020-03-02,-7.0
0.7525,as reported,persist,COVID-19,GOLD,EXP,17.719823,26.320203,-8.600381,0.321918,0.593103,146,2020-01-16,2020-08-13,2020-03-02,-7.0
1.0,as reported,defensive,COVID-19,GOLD,ENST,25.129758,26.320203,-1.190446,0.493151,0.510345,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.5,as reported,first_alarm,COVID-19,GOLD,ENST,0.0,26.320203,-26.320203,0.493151,0.0,146,2020-01-16,2020-08-13,2020-01-16,23.0
1.0,as reported,persist,COVID-19,GOLD,ENST,25.070853,26.320203,-1.249351,0.493151,0.441379,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.36,far0.05,defensive,COVID-19,GOLD,IF,24.385873,26.320203,-1.93433,0.013699,0.986207,146,2020-01-16,2020-08-13,2020-02-24,-2.0
0.79,far0.05,first_alarm,COVID-19,GOLD,IF,7.966432,26.320203,-18.353772,0.013699,0.172414,146,2020-01-16,2020-08-13,2020-02-24,-2.0
0.5,far0.05,persist,COVID-19,GOLD,IF,26.320203,26.320203,0.0,0.013699,1.0,146,2020-01-16,2020-08-13,2020-02-24,-2.0
0.2075,far0.05,defensive,COVID-19,GOLD,OCS,24.993212,26.320203,-1.326991,0.082192,0.917241,146,2020-01-16,2020-08-13,2020-02-28,-6.0
0.2,far0.05,first_alarm,COVID-19,GOLD,OCS,0.974821,26.320203,-25.345383,0.082192,0.2,146,2020-01-16,2020-08-13,2020-02-28,-6.0
0.9475,far0.05,persist,COVID-19,GOLD,OCS,31.684954,26.320203,5.364751,0.082192,0.875862,146,2020-01-16,2020-08-13,2020-02-28,-6.0
