episode,asset,method,mapping,n_windows,n_positive,n_negative,prevalence,auc,pr_auc,pr_auc_random,rank_metrics_valid,shipped_TP,shipped_FP,shipped_FN,shipped_TN,shipped_precision,shipped_recall,shipped_f1,shipped_balanced_acc,shipped_accuracy,shipped_fpr,far_tau,far_control,matched_TP,matched_FP,matched_FN,matched_TN,matched_precision,matched_recall,matched_f1,matched_balanced_acc,matched_accuracy,matched_fpr
Iran 2026,USOIL,hybrid2,exponential,37,18,19,0.4865,0.0234,0.312,0.4865,False,0,11,18,8,0.0,0.0,,0.2105,0.2162,0.5789,0.3991,0.0938,0.0,5.0,18.0,14.0,0.0,0.0,,0.3684,0.3784,0.2632
Iran 2026,GOLD,hybrid2,exponential,37,18,19,0.4865,0.0848,0.3242,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.2309,0.0938,0.0,1.0,18.0,18.0,0.0,0.0,,0.4737,0.4865,0.0526
Iran 2026,EURUSD,hybrid2,exponential,41,20,21,0.4878,0.0119,0.3103,0.4878,False,0,1,20,20,0.0,0.0,,0.4762,0.4878,0.0476,0.2059,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,isolation_forest,exponential,37,18,19,0.4865,0.2544,0.3779,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,0.6305,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,isolation_forest,exponential,37,18,19,0.4865,0.2339,0.3781,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,0.573,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,isolation_forest,exponential,41,20,21,0.4878,0.231,0.3583,0.4878,False,0,1,20,20,0.0,0.0,,0.4762,0.4878,0.0476,0.5505,0.0985,0.0,1.0,20.0,20.0,0.0,0.0,,0.4762,0.4878,0.0476
Iran 2026,USOIL,omnianomaly,exponential,37,18,19,0.4865,0.0263,0.3119,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,0.3659,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,omnianomaly,exponential,37,18,19,0.4865,0.0146,0.3111,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.2712,0.0938,0.0,1.0,18.0,18.0,0.0,0.0,,0.4737,0.4865,0.0526
Iran 2026,EURUSD,omnianomaly,exponential,41,20,21,0.4878,0.2071,0.3549,0.4878,False,0,0,20,21,,0.0,,0.5,0.5122,0.0,0.3534,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,one_class_svm,exponential,37,18,19,0.4865,0.462,0.4454,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,1.9226,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,one_class_svm,exponential,37,18,19,0.4865,0.386,0.5226,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.2057,0.0938,0.0,1.0,18.0,18.0,0.0,0.0,,0.4737,0.4865,0.0526
Iran 2026,EURUSD,one_class_svm,exponential,41,20,21,0.4878,0.45,0.6358,0.4878,False,6,1,14,20,0.8571,0.3,0.4444,0.6262,0.6341,0.0476,0.464,0.0985,3.0,0.0,17.0,21.0,1.0,0.15,0.2609,0.575,0.5854,0.0
Iran 2026,USOIL,standalone_fanogan,arccosh,37,18,19,0.4865,0.0351,0.3135,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.0452,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,standalone_fanogan,arccosh,37,18,19,0.4865,0.3772,0.465,0.4865,False,2,1,16,18,0.6667,0.1111,0.1905,0.5292,0.5405,0.0526,0.1531,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,standalone_fanogan,arccosh,41,20,21,0.4878,0.2524,0.3688,0.4878,False,0,4,20,17,0.0,0.0,,0.4048,0.4146,0.1905,0.024,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,standalone_fanogan,arctan,37,18,19,0.4865,0.0292,0.3126,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.0148,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,standalone_fanogan,arctan,37,18,19,0.4865,0.2895,0.3786,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.0144,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,standalone_fanogan,arctan,41,20,21,0.4878,0.5095,0.5155,0.4878,False,1,4,19,17,0.2,0.05,0.08,0.4298,0.439,0.1905,0.0104,0.0985,1.0,4.0,19.0,17.0,0.2,0.05,0.08,0.4298,0.439,0.1905
Iran 2026,USOIL,standalone_fanogan,cosine,37,18,19,0.4865,0.0,0.3098,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.131,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,standalone_fanogan,cosine,37,18,19,0.4865,0.3041,0.4538,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.1673,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,standalone_fanogan,cosine,41,20,21,0.4878,0.2071,0.3512,0.4878,False,0,1,20,20,0.0,0.0,,0.4762,0.4878,0.0476,0.1596,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
