event,asset,window_start,label,prob_EXP,loss_EXP,prob_AT,loss_AT,prob_DAG,loss_DAG,prob_DSV,loss_DSV,prob_IF,loss_IF,prob_OMNI,loss_OMNI,prob_OCS,loss_OCS,prob_TR,loss_TR,prob_USAD,loss_USAD
Iran 2025,USOIL,2353,1,0.4766355140186916,0.27391038518647925,0.1588785046728972,0.7074853699013014,0.6448598130841121,0.1261245523626518,0.411214953271028,0.34666783125163764,0.9158878504672897,0.007074853699013016,0.9532710280373832,0.0021835968206830297,0.8878504672897196,0.01257751768713425,0.9252336448598131,0.005590007860948556,0.2616822429906542,0.5451131103153113
Iran 2025,USOIL,2354,1,0.6635514018691588,0.11319765918420825,0.2523364485981308,0.5590007860948556,0.5046728971962616,0.2453489387719452,0.4205607476635514,0.33574984714822265,0.8878504672897196,0.01257751768713425,0.9719626168224299,0.0007860948554458907,0.8691588785046729,0.017119399074154953,0.8785046728971962,0.01476111450781728,0.2523364485981308,0.5590007860948556
Iran 2025,USOIL,2355,1,0.7009345794392523,0.08944012577517689,0.411214953271028,0.34666783125163764,0.794392523364486,0.04227443444842345,0.19626168224299065,0.6459952834308673,0.8504672897196262,0.022360031443794223,0.9626168224299065,0.001397501965237139,0.8411214953271028,0.025242379247095822,0.8691588785046729,0.017119399074154953,0.2897196261682243,0.5044982094506072
Iran 2025,USOIL,2356,1,0.8317757009345794,0.028299414796052063,0.34579439252336447,0.4279849768538738,0.7009345794392523,0.08944012577517689,0.07476635514018691,0.8560572975805747,0.8037383177570093,0.03851864791684864,0.897196261682243,0.010568608612105863,0.822429906542056,0.03153113809066295,0.9158878504672897,0.007074853699013016,0.308411214953271,0.4782950476024108
Iran 2025,USOIL,2357,1,0.9439252336448598,0.0031443794217835626,0.37383177570093457,0.39208664512184466,0.5981308411214953,0.16149882085771686,0.45794392523364486,0.29382478819110847,0.7102803738317757,0.08393746178705566,0.9252336448598131,0.005590007860948556,0.8130841121495327,0.034937549130928475,0.8411214953271028,0.025242379247095822,0.32710280373831774,0.452790636736833
Iran 2025,USOIL,2358,1,0.8691588785046729,0.017119399074154953,0.4953271028037383,0.25469473316446856,0.5233644859813084,0.2271814132238624,0.308411214953271,0.4782950476024108,0.7476635514018691,0.06367368329111714,0.8878504672897196,0.01257751768713425,0.7757009345794392,0.050310070748537,0.6822429906542056,0.10096951698838329,0.38317757009345793,0.3804699100358111
Iran 2025,USOIL,2359,1,0.7663551401869159,0.054589920517075737,0.5607476635514018,0.1929426150755525,0.9065420560747663,0.008734387282732119,0.40186915887850466,0.35776050310070756,0.6355140186915887,0.13285003057035552,0.9065420560747663,0.008734387282732119,0.6635514018691588,0.11319765918420825,0.6355140186915887,0.13285003057035552,0.3925233644859813,0.36902786269543186
Iran 2025,USOIL,2360,1,0.719626168224299,0.07860948554458906,0.5794392523364486,0.1768713424753254,0.2803738317757009,0.5178618219931871,0.1588785046728972,0.7074853699013014,0.6261682242990654,0.1397501965237139,0.8598130841121495,0.019652371386147265,0.29906542056074764,0.4913092846536815,0.514018691588785,0.23617783212507648,0.4205607476635514,0.33574984714822265
Iran 2025,USOIL,2361,1,0.7570093457943925,0.05904445803126912,0.6074766355140186,0.15407459166739457,0.8411214953271028,0.025242379247095822,0.3177570093457944,0.46545549829679445,0.5794392523364486,0.1768713424753254,0.7009345794392523,0.08944012577517689,0.16822429906542055,0.6918508166652109,0.5420560747663551,0.20971263865839815,0.42990654205607476,0.325006550790462
Iran 2025,USOIL,2362,1,0.6822429906542056,0.10096951698838329,0.7009345794392523,0.08944012577517689,0.27102803738317754,0.5314001222814221,0.5700934579439252,0.18481963490261163,0.5607476635514018,0.1929426150755525,0.6261682242990654,0.1397501965237139,0.11214953271028037,0.7882784522665734,0.2803738317757009,0.5178618219931871,0.45794392523364486,0.29382478819110847
Iran 2025,USOIL,2363,1,0.5700934579439252,0.18481963490261163,0.8037383177570093,0.03851864791684864,0.5420560747663551,0.20971263865839815,0.6542056074766355,0.1195737619006027,0.5981308411214953,0.16149882085771686,0.5233644859813084,0.2271814132238624,0.08411214953271028,0.8388505546335925,0.2336448598130841,0.5873002008909075,0.4766355140186916,0.27391038518647925
Iran 2025,USOIL,2364,1,0.40186915887850466,0.35776050310070756,0.7663551401869159,0.054589920517075737,0.6355140186915887,0.13285003057035552,0.3644859813084112,0.40387806795353315,0.5327102803738317,0.21835968206830295,0.45794392523364486,0.29382478819110847,0.06542056074766354,0.8734387282732117,0.4485981308411215,0.3040440213119049,0.48598130841121495,0.26421521530264647
Iran 2025,USOIL,2365,1,0.8037383177570093,0.03851864791684864,0.822429906542056,0.03153113809066295,0.6915887850467289,0.09511747750895277,0.2336448598130841,0.5873002008909075,0.794392523364486,0.04227443444842345,0.8037383177570093,0.03851864791684864,0.6448598130841121,0.1261245523626518,0.6635514018691588,0.11319765918420825,0.37383177570093457,0.39208664512184466
Iran 2025,USOIL,2366,1,0.822429906542056,0.03153113809066295,0.8598130841121495,0.019652371386147265,0.7850467289719626,0.04620490872565291,0.7102803738317757,0.08393746178705566,0.6915887850467289,0.09511747750895277,0.822429906542056,0.03153113809066295,0.719626168224299,0.07860948554458906,0.7476635514018691,0.06367368329111714,0.3364485981308411,0.44030046292252595
Iran 2025,USOIL,2367,1,0.7289719626168224,0.07345619704777712,0.9065420560747663,0.008734387282732119,0.8878504672897196,0.01257751768713425,0.8411214953271028,0.025242379247095822,0.6728971962616822,0.10699624421346846,0.7383177570093458,0.06847759629661981,0.40186915887850466,0.35776050310070756,0.7570093457943925,0.05904445803126912,0.35514018691588783,0.415844178530876
