kind,reduce,episode,asset,seed,auc,n_train,n_test,prevalence,epochs,window,signal
gru,max,chinese,EURUSD,1,0.9104503564597461,1832,152,0.46710526315789475,40,32,100
gru,mean,chinese,EURUSD,2,0.9083637628238567,1832,152,0.46710526315789475,40,32,100
gru,max,chinese,EURUSD,2,0.8902799513128151,1832,152,0.46710526315789475,40,32,100
linear,mean,chinese,EURUSD,0,0.850113023821944,1832,152,0.46710526315789475,40,32,100
linear,max,chinese,EURUSD,0,0.7384802643018605,1832,152,0.46710526315789475,40,32,100
linear,mean,chinese,EURUSD,1,0.8339419231438011,1832,152,0.46710526315789475,40,32,100
linear,max,chinese,EURUSD,1,0.7948182924708747,1832,152,0.46710526315789475,40,32,100
linear,mean,chinese,EURUSD,2,0.8266388454181881,1832,152,0.46710526315789475,40,32,100
linear,max,chinese,EURUSD,2,0.812206572769953,1832,152,0.46710526315789475,40,32,100
time_index,position,iran2025,USOIL,0,0.2878787878787879,2224,106,0.37735849056603776,0,32,100
lstm,mean,iran2025,USOIL,0,0.24015151515151514,2224,106,0.37735849056603776,40,32,100
lstm,max,iran2025,USOIL,0,0.23939393939393938,2224,106,0.37735849056603776,40,32,100
lstm,mean,iran2025,USOIL,1,0.21704545454545454,2224,106,0.37735849056603776,40,32,100
lstm,max,iran2025,USOIL,1,0.2331439393939394,2224,106,0.37735849056603776,40,32,100
lstm,mean,iran2025,USOIL,2,0.21893939393939393,2224,106,0.37735849056603776,40,32,100
lstm,max,iran2025,USOIL,2,0.2331439393939394,2224,106,0.37735849056603776,40,32,100
gru,mean,iran2025,USOIL,0,0.5079545454545454,2224,106,0.37735849056603776,40,32,100
gru,max,iran2025,USOIL,0,0.7770833333333333,2224,106,0.37735849056603776,40,32,100
gru,mean,iran2025,USOIL,1,0.44053030303030305,2224,106,0.37735849056603776,40,32,100
gru,max,iran2025,USOIL,1,0.7380681818181818,2224,106,0.37735849056603776,40,32,100
gru,mean,iran2025,USOIL,2,0.48863636363636365,2224,106,0.37735849056603776,40,32,100
gru,max,iran2025,USOIL,2,0.7202651515151515,2224,106,0.37735849056603776,40,32,100
linear,mean,iran2025,USOIL,0,0.4518939393939394,2224,106,0.37735849056603776,40,32,100
linear,max,iran2025,USOIL,0,0.7259469696969697,2224,106,0.37735849056603776,40,32,100
linear,mean,iran2025,USOIL,1,0.43863636363636366,2224,106,0.37735849056603776,40,32,100
linear,max,iran2025,USOIL,1,0.409469696969697,2224,106,0.37735849056603776,40,32,100
linear,mean,iran2025,USOIL,2,0.39204545454545453,2224,106,0.37735849056603776,40,32,100
linear,max,iran2025,USOIL,2,0.3867424242424242,2224,106,0.37735849056603776,40,32,100
time_index,position,iran2025,GOLD,0,0.2878787878787879,2223,106,0.37735849056603776,0,32,100
lstm,mean,iran2025,GOLD,0,0.20984848484848484,2223,106,0.37735849056603776,40,32,100
lstm,max,iran2025,GOLD,0,0.11818181818181818,2223,106,0.37735849056603776,40,32,100
lstm,mean,iran2025,GOLD,1,0.2196969696969697,2223,106,0.37735849056603776,40,32,100
lstm,max,iran2025,GOLD,1,0.12272727272727273,2223,106,0.37735849056603776,40,32,100
lstm,mean,iran2025,GOLD,2,0.21212121212121213,2223,106,0.37735849056603776,40,32,100
lstm,max,iran2025,GOLD,2,0.12121212121212122,2223,106,0.37735849056603776,40,32,100
gru,mean,iran2025,GOLD,0,0.2988636363636364,2223,106,0.37735849056603776,40,32,100
gru,max,iran2025,GOLD,0,0.2852272727272727,2223,106,0.37735849056603776,40,32,100
gru,mean,iran2025,GOLD,1,0.2988636363636364,2223,106,0.37735849056603776,40,32,100
gru,max,iran2025,GOLD,1,0.28825757575757577,2223,106,0.37735849056603776,40,32,100
gru,mean,iran2025,GOLD,2,0.3087121212121212,2223,106,0.37735849056603776,40,32,100
gru,max,iran2025,GOLD,2,0.2878787878787879,2223,106,0.37735849056603776,40,32,100
linear,mean,iran2025,GOLD,0,0.3090909090909091,2223,106,0.37735849056603776,40,32,100
linear,max,iran2025,GOLD,0,0.28768939393939397,2223,106,0.37735849056603776,40,32,100
linear,mean,iran2025,GOLD,1,0.3106060606060606,2223,106,0.37735849056603776,40,32,100
linear,max,iran2025,GOLD,1,0.29071969696969696,2223,106,0.37735849056603776,40,32,100
linear,mean,iran2025,GOLD,2,0.30643939393939396,2223,106,0.37735849056603776,40,32,100
linear,max,iran2025,GOLD,2,0.2865530303030303,2223,106,0.37735849056603776,40,32,100
time_index,position,iran2025,EURUSD,0,0.2878787878787879,2309,107,0.38317757009345793,0,32,100
lstm,mean,iran2025,EURUSD,0,0.02328159645232816,2309,107,0.38317757009345793,40,32,100
lstm,max,iran2025,EURUSD,0,0.006282335550628234,2309,107,0.38317757009345793,40,32,100
lstm,mean,iran2025,EURUSD,1,0.018847006651884702,2309,107,0.38317757009345793,40,32,100
lstm,max,iran2025,EURUSD,1,0.005543237250554324,2309,107,0.38317757009345793,40,32,100
lstm,mean,iran2025,EURUSD,2,0.016260162601626018,2309,107,0.38317757009345793,40,32,100
lstm,max,iran2025,EURUSD,2,0.0003695491500369549,2309,107,0.38317757009345793,40,32,100
gru,mean,iran2025,EURUSD,0,0.014412416851441241,2309,107,0.38317757009345793,40,32,100
gru,max,iran2025,EURUSD,0,0.014042867701404288,2309,107,0.38317757009345793,40,32,100
gru,mean,iran2025,EURUSD,1,0.03325942350332594,2309,107,0.38317757009345793,40,32,100
gru,max,iran2025,EURUSD,1,0.008869179600886918,2309,107,0.38317757009345793,40,32,100
gru,mean,iran2025,EURUSD,2,0.03621581670362158,2309,107,0.38317757009345793,40,32,100
gru,max,iran2025,EURUSD,2,0.023651145602365115,2309,107,0.38317757009345793,40,32,100
linear,mean,iran2025,EURUSD,0,0.0417590539541759,2309,107,0.38317757009345793,40,32,100
linear,max,iran2025,EURUSD,0,0.09848484848484848,2309,107,0.38317757009345793,40,32,100
linear,mean,iran2025,EURUSD,1,0.0066518847006651885,2309,107,0.38317757009345793,40,32,100
linear,max,iran2025,EURUSD,1,0.04804138950480414,2309,107,0.38317757009345793,40,32,100
linear,mean,iran2025,EURUSD,2,0.04988913525498891,2309,107,0.38317757009345793,40,32,100
linear,max,iran2025,EURUSD,2,0.0770509977827051,2309,107,0.38317757009345793,40,32,100
